nev	hossz	allomas	ido	vezetes	telepulesid
Kő-közi tanösvény 	0,8	5	1	-1	32
Kőpark tanösvény 	0,2	0	0,5	-1	14
Körtike tanösvény 	6,2	11	2,5	-1	88
Kövi benge tanösvény 	0,3	20	1	0	33
Lóczy gejzír-sétaút 	18	15	6	-1	99
Madarak és fák útja 	1	5	1	-1	15
Madárvédelmi tanösvény 	0,3	8	0,5	-1	54
Mágor-pusztai tanösvény 	0,5	5	1,5	0	92
Magyar-bányai kőpark 	0,15	13	0,5	-1	83
Mérus-erdő tanösvény 	1	1	0,5	-1	6
Millenniumi természetismereti és erdészeti bemutató sétaút 	2,5	20	1	-1	96
Nagymező - Kis-kőháti-zsomboly tanösvény 	3	3	1	-1	96
Nagypartosi tanösvény 	2,5	6	1	-1	53
Nagy-Szénás tanösvény 	2,1	7	1,5	-1	63
Nyéki-Holt-Duna tanösvény 	2,2	6	1	-1	81
Óbányai Pro Silva tanösvény 	2	5	0,5	-1	65
Olasz-kapui tanösvény 	7,2	6	3	-1	96
Orfűi Vízfő tanösvény 	1	4	0,5	-1	68
Öregtavi tanösvény 	25	18	6	-1	43
Őrtilosi Dráva-ártér tanösvény 	2	0	0,75	-1	72
Paksi Ürge-mező tanösvény 	4	11	1	-1	73
Pálfája tanösvény 	1,8	10	1,5	-1	64
Páskom legelő tanösvény 	3	6	2	-1	25
Pele apó ösvénye 	8,5	38	5	-1	8
Pele körút 	0,8	10	1	-1	24
Pimpó tanösvény 	5,8	6	4	-1	69
Poszáta tanösvény 	2	8	1,5	-1	45
Ravazd-Sokorópátkai tanösvény 	15	3	3	0	82
Réce tanösvény 	1	5	0,5	-1	4
Réhelyi tanösvény 	1,5	8	1	-1	26
Rejtek - Répáshuta tanösvény 	9	12	4,5	-1	16
Rekettye tanösvény 	2,3	6	2	-1	2
Rezgőnyár tanösvény 	0,3	7	0,5	-1	71
Ság-hegy élővilága 	0,2	13	0,2	-1	18
Ság-hegyi geológiai tanösvény 	1	18	0,5	-1	18
Salgó - Somoskő vára tanösvény 	3,5	6	1	-1	83
Sárgaliliom tanösvény 	6,2	11	2,5	-1	58
Sár-hegyi természetismereti tanösvény 	7	12	3	-1	40
Sas-hegy tanösvény 	0,85	7	1	-1	14
Sáskajárás sétaút 	0,8	8	1	-1	15
Selyem-réti tanösvény 	1,5	6	2	-1	66
Sirály tanösvény 	2	5	1,5	-1	91
Sóvirág tanösvény 	0,5	0	1	-1	31
Sötét-völgyi tanösvény 	4,3	9	2	-1	93
Strázsa-hegyi tanösvény 	1,2	7	1,5	-1	30
Szádvár tanösvény 	4,5	12	3	-1	97
Szalajka-völgyi természetvédelmi bemutatóösvény 	4,2	10	2,5	-1	96
Szala menti tanösvény 	3,8	9	1,5	-1	71
Szálkahalmi tanösvény 	1,1	5	1	-1	43
Szarvaskői geológiai tanösvény 	8,8	11	3,5	-1	90
Szeremlei-Holt-Duna tanösvény 	2,4	6	1	-1	94
Szigetközi Ökoturisztikai Bemutató Útvonal 	18	12	2	0	29
Sziki őszirózsa tanösvény 	4	10	2	0	85
Szilvás-kői geológiai tanösvény 	3,5	12	1,5	-1	83
Szinva tanösvény 	4	6	3	-1	60
Szomoróczi tanösvény 	3	6	1	-1	50
Tanösvény a Turjánban 	1,2	9	1	-1	66
Tarpai Szőlő-hegy tanösvény 	3	6	2	0	98
Templom-hegyi tanösvény 	2	6	1	-1	105
Pannonhalmi arborétum	1,5	3	0,3	0	75
Tisza-tavi vízi sétány és tanösvény 	1,5	4	2	-1	80
Tohonya-Kuriszlán tanösvény II. útvonal 	9	25	6	-1	46
Tohonya-Kuriszlán tanösvény I. útvonal 	4,5	12	2,5	-1	46
Tőzike tanösvény 	3	5	1	-1	19
Tüskés-réti tanösvény 	1	4	1	-1	77
Újmohácsi tanösvény 	3,1	7	1	-1	61
Üde rétek tanösvény 	3	5	2	-1	10
Várdomb tanösvény 	0,3	6	0,5	0	100
Vár-hegyi tanösvény 	10	6	4,5	-1	32
Vártúra ösvény 	1,2	0	1	-1	42
Vár-völgyi földtani tanösvény 	3	10	1	-1	57
Vasút-oldali túraútvonal 	10	1	2,5	-1	39
Vizi Rence Túraútvonal 	6	0	3	-1	33
Vöcsök tanösvény 	3,2	7	2,5	-1	74
Vörös-mocsár tanösvény 	2,5	2	2	-1	21
