"RENDSZAM";"MARKA";"EVJARAT";"MOTORCM3";"AR";"AJTO";"SEBESSEG";"LOERO";"FOGYASZTAS";"SZIN";"ELSOTULAJ"
"IIB-542";"Ford";1989,00;2024,00;604000,00;4,00;190,00;106,00;12,70;"zöld";1
"MJW-446";"Suzuki";1989,00;2670,00;734000,00;5,00;190,00;133,00;13,20;"piros";1
"UNW-285";"Suzuki";1995,00;2145,00;1143000,00;4,00;170,00;119,00;11,00;"kék";1
"TSW-078";"Suzuki";1995,00;1089,00;679000,00;3,00;140,00;57,00;5,60;"piros";1
"QXW-413";"Suzuki";1990,00;752,00;380000,00;3,00;120,00;44,00;5,80;"szürke";0
"QRX-387";"Lada";1996,00;1540,00;939000,00;4,00;150,00;90,00;8,40;"piros";1
"CCZ-429";"Volvo";1993,00;855,00;507000,00;4,00;130,00;47,00;5,70;"piros";1
"JPL-169";"BMW";1992,00;2548,00;1015000,00;5,00;220,00;149,00;12,00;"fehér";1
"QUJ-333";"BMW";1993,00;1495,00;738000,00;5,00;160,00;93,00;9,60;"piros";1
"JNI-228";"Ford";1993,00;935,00;536000,00;4,00;130,00;62,00;6,80;"fekete";1
"OHK-357";"Volvo";1993,00;1360,00;689000,00;3,00;160,00;90,00;7,00;"piros";1
"VHE-395";"Suzuki";1993,00;2325,00;1037000,00;4,00;190,00;155,00;10,60;"fehér";1
