gyarto	tipus	kijelzo	memoria	merevlemez	videovezerlo	ar	processzorid	oprendszerid	db
LENOVO	IdeaPad S10-2 59-027108 SAILING	10,1	1024	160	Intel Graphics 950	73520	20	12	0
MSI	WIND U123-014HU WHITE	10	1024	160	Intel Graphics 950	75600	20	12	3
MSI	WIND U123-018HU GRAY	10	1024	160	Intel Graphics 950	75600	20	12	4
LENOVO	IdeaPad S10-2 59-027036 WHITE	10,1	1024	160	Intel Graphics 950	77520	20	12	3
Asus	Eee PC 1005HA-WHI058X XP W	10	1024	160	Intel Graphics 950	82320	20	12	2
Asus	Eee PC 1005HA-BLK075X XP B	10	1024	160	Intel Graphics 950	82400	20	12	3
Asus	Eee S101H-BRN073X XP BR	10	1024	160	Intel Graphics 950	87120	20	12	4
Asus	Eee PC 1008HA-PIK012X XP P	10	1024	160	Intel Graphics 950	95920	20	12	5
Asus	Eee PC 1008HA-RED008X XP R	10	1024	160	Intel Graphics 950	95920	20	12	1
Asus	Eee PC 1008HA-BLU021X XP BL	10	1024	160	Intel Graphics 950	95920	20	12	0
Asus	Eee PC 1008HA-WHI024X XP	10	1024	160	Intel Graphics 950	95920	20	12	3
Asus	Eee PC 1008HA-BLU036X XP BL	10	1024	160	Intel Graphics 950	95920	20	12	5
TOSHIBA	NB200-136	10,1	1024	160	Intel GMA 950 / 256MB	95920	20	11	5
Asus	Eee PC 1101HA-BLK041X B	11,6	1024	160	Intel Graphics 500	96720	21	12	4
Asus	Eee PC 1101HA-BLK028M B	11,6	2048	250	Intel Graphics 500	98000	21	11	5
ACER	ASPIRE ONE 751h 52Bb BLACK	11,6	1024	160	Intel Graphics 950	81200	21	12	2
ACER	ASPIRE ONE 751h 52Bb WHITE	11,6	1024	160	Intel Graphics 950	81200	21	12	4
ACER	ASPIRE ONE 751h 52Bb RED	11,6	1024	160	Intel Graphics 950	81200	21	12	5
ACER	ASPIRE ONE 751H PINK	11,6	1024	160	Intel Graphics 950	81200	21	12	3
ACER	ASPIRE ONE 751h 52Bb BLUE	11,6	1024	160	Intel Graphics 950	81200	21	12	3
Asus	Eee PC 1101HA-BLU018X BLUE	11,6	1024	160	Intel Graphics 950	96720	21	12	1
Asus	Eee PC 1101HA-WHI040X W	11,6	1024	160	Intel Graphics 950	96720	21	12	0
Asus	Eee PC 1101HA-WHI022M W	11,6	2048	250	Intel Graphics 950	98000	21	11	4
DELL	Inspiron 1010 106752 BLACK	10,1	1024	160	Intel Graphics 500	87920	22	12	0
ASUS	M51VR-AP184C	15,4	2048	250	ATi Mobility Radeon HD3470 256MB	140720	23	6	4
FUJITSU	Esprimo V6535-104060	15,4	2048	250	Intel Graphics 4500MHD	110320	23	8	5
ACER	Extensa 5630G-732G16N	15,4	2048	160	NVIDIA GeForce Go 9300M 256MB	127920	24	6	0
DELL	Studio XPS 13-711 BLACK	13,3	4096	320	NVIDIA GeForce Go 9500M-GS 256MB	241520	24	6	0
MSI	GX723X-271HU	17	4096	500	NVIDIA GeForce GT130M 512B DDR3	216720	24	1	1
TOSHIBA	Satellite A300-1GN	15,4	3072	320	ATi Mobility Radeon HD3650 512MB	226800	25	6	0
LENOVO	ThinkPad T500 NL34EHV	15,4	2048	160	Intel Graphics 4500MHD	241520	25	3	1
LENOVO	ThinkPad T400 NM81UHV	14,1	2048	160	Intel Graphics 4500MHD	244720	25	3	5
FUJITSU	Lifebook E8420	15,4	4096	160	Intel Graphics 4500MHD	268720	25	3	5
FUJITSU	Lifebook S7220	14,1	4096	320	Intel Graphics 4500MHD	268720	25	3	1
FUJITSU	Lifebook S6420	13,3	4096	160	Intel Graphics 4500MHD	279920	25	3	3
LENOVO	ThinkPad T500 NL346HV	15,4	2048	320	Intel Graphics 4500MHD	279920	25	3	3
LENOVO	ThinkPad T500 NJ253HV	15,4	2048	160	ATi Mobility Radeon HD3650	279920	26	3	3
DELL	Studio XPS 16-713 BLACK	16	4096	500	ATi Mobility Radeon HD3670 512MB	266320	26	6	5
DELL	Inspiron 1545-106226 Red	15,6	2048	320	ATi Mobility Radeon HD4330 256MB	169200	26	6	0
DELL	Inspiron 1545-106227 Blue	15,6	2048	320	ATi Mobility Radeon HD4330 256MB	169200	26	6	5
DELL	Studio 1555-110573 RED	15,6	2048	500	ATi Mobility Radeon HD4570 512MB	192720	26	6	2
DELL	Studio 1555-110574 BLACK	15,6	2048	500	ATi Mobility Radeon HD4570 512MB	192720	26	6	1
DELL	Studio 1555-110575 BLUE	15,6	2048	500	ATi Mobility Radeon HD4570 512MB	192720	26	6	3
TOSHIBA	Satellite P300-225	17,1	4096	500	ATi Mobility Radeon HD4650 1024MB	234800	26	6	3
DELL	Studio XPS M1640-106257 B	15,6	4096	500	ATi Mobility Radeon HD4670 512MB	268720	26	6	2
DELL	Studio XPS M1640-106259 R	15,6	4096	500	ATi Mobility Radeon HD4670 512MB	268720	26	6	5
LENOVO	ThinkPad T500 NJ42RHV	15,4	2048	160	Intel Graphics 4500MHD	255920	26	3	1
FUJITSU	Lifebook S7220-1	14,1	4096	320	Intel Graphics 4500MHD	279920	26	3	3
TOSHIBA	Tecra M10-14Z	14,1	3072	250	NVIDIA Quadro NVS 150M 256MB	271920	26	3	3
DELL	Studio XPS M1340-106255 B	13,3	4096	500	NVIDIA GeForce Go 9400M-GS 256MB	251920	26	6	5
DELL	Studio XPS M1340-106256 R	13,3	4096	500	NVIDIA GeForce Go 9400M-GS 256MB	251920	26	6	4
ASUS	N80VN-GP023C	14,1	4096	320	NVIDIA GeForce 9650M GT 1GB	215920	26	6	4
ASUS	U50VG-XX162V	15,6	4096	500	NVIDIA GeForce G105/512MB	219120	27	10	0
TOSHIBA	Qosmio X300-14V	17	4096	320	NVIDIA GeForce Go 9700M-GT 512MB	399920	27	6	4
ASUS	N71VG-TY046V	17,3	4096	640	NVIDIA GeForce GT220M 1GB	243920	27	10	2
ASUS	N61VN-JX069V	16	4096	500	NVIDIA GeForce GT240M 1GB	247920	27	10	4
MSI	GT628X-447HU	15,4	4096	500	NVIDIA GeForce GTS 160M	258000	27	1	3
HP	EliteBook 2530p FU431EA	12,1	2048	120	Intel Graphics 4500MHD	379920	28	3	0
ThinkPad	X200 NRRFWHV	12,1	2048	250	Intel Graphics 4500MHD	387120	28	3	2
ACER	Timeline 3810TG-734G50N	13,3	4096	500	ATi Mobility Radeon HD4330 256MB	174320	29	6	5
ACER	Aspire Timeline 4810TG-733G25MN	14	3072	250	ATi Mobility Radeon HD4330 512MB	164720	29	10	3
ACER	TravelMate 8471-733G25MN	14	3072	250	Intel Graphics 4500MHD	167920	29	3	2
ASUS	UL20A-2X022V	12,1	3072	320	Intel Graphics X4500M / 256MB	146800	29	10	3
ASUS	UL30A-QX164V	13,3	3072	320	Intel Graphics X4500M / 256MB	148720	29	10	3
ASUS	UL50AG-XX007V	15,6	4096	500	Intel Graphics X4500M / 256MB	174320	29	10	3
ASUS	UX30-QX096V	13,3	3072	320	Intel Graphics X4500M / 256MB	177520	29	10	1
ASUS	UX30-QX085V	13,3	4096	500	Intel Graphics X4500M / 256MB	184720	29	10	0
ASUS	UL80AG-WX011V	14	3072	320	Intel GMA 950 / 256MB	162320	29	10	5
ASUS	UX50V-XX042V	15,6	4096	500	NVIDIA GeForce G105/512MB	203920	29	10	2
ASUS	UL50VT-XX021V	15,6	4096	500	NVIDIA GeForce GT210M 512GB	191120	29	10	2
TOSHIBA	Portégé A600-139	12,1	2048	250	Intel Graphics 4500MHD	271920	30	3	5
ACER	Timeline 3810TG-944G50N	13,3	4096	500	ATi Mobility Radeon HD4330 256MB	194800	31	6	0
ACER	Timeline 3810T-944G32N	13,3	4096	320	Intel Graphics 4500MHD	168720	31	6	2
ACER	Aspire Timeline 4810T-943G32MN	14	3072	320	Intel Graphics 4500MHD	189200	31	6	3
ThinkPad	X301 NRFC1HV	13,3	2048	120	Intel Graphics 4500MHD	366000	31	3	0
FUJITSU	Esprimo V6515-104062	15,4	2048	250	NVIDIA GeForce Go 8200M 128MB	123920	32	8	1
FUJITSU	Esprimo V5535 02	15,4	2048	160	SiS Mirage 3+ 256M	103920	34	1	2
HP	ProBook 4510s NX621EA	15,6	3072	320	ATi Mobility Radeon HD4330 256MB	146320	34	1	0
HP	ProBook 4510s NX624EA	15,6	3072	320	ATi Mobility Radeon HD4330 256MB	157520	34	4	1
HP	ProBook 4710s NX628EA	17,3	3072	320	ATi Mobility Radeon HD4330 512MB	159920	34	1	4
HP	COMPAQ 610 NX549EA	15,6	1024	160	Intel Graphics x3100	104990	34	1	1
HP	COMPAQ 610 NX550EA	15,6	2048	320	Intel Graphics x3100	121520	34	1	3
HP	COMPAQ 610 NX552EA	15,6	2048	320	Intel Graphics x3100	125200	34	4	0
DELL	Vostro A860-111877	15,6	2048	250	Intel Graphics x3100 	94320	34	2	0
FUJITSU	Esprimo V6555 MPWE5HU	15,4	2048	250	NVIDIA GeForce Go 8200M 128MB	108000	34	2	2
MSI	VX600X-053HU	15,4	4096	500	ATi Mobility Radeon HD3410 256MB	136400	35	1	0
FUJITSU	Esprimo V6545-104064	15,4	2048	250	ATi Mobility Radeon HD3450 256MB	143920	35	2	4
FUJITSU	Amilo PI 3525	15,4	2048	320	Intel Graphics 4500MHD	111111	35	8	3
FUJITSU	Esprimo V6505-104063	15,4	2048	250	Intel Graphics 4500MHD 	135920	35	2	0
MSI	CX600X-042HU	16	4096	500	ATi Mobility Radeon HD4330 256MB	149600	36	8	1
DELL	Inspiron 1545-699 BLUE	15,6	4096	320	ATi Mobility Radeon HD4330 256MB	159920	36	6	2
DELL	Studio 1555-635 RED	15,6	4096	500	ATi Mobility Radeon HD4570 512MB	176720	36	1	5
DELL	Studio 1555-106249 BLUE	15,6	4096	500	ATi Mobility Radeon HD4570 512MB	190320	36	6	3
ASUS	F6A-3P193X	13,3	3072	250	Intel Graphics X4500M / 256MB	159920	36	8	2
ASUS	K50IN-SX024L	15,6	4096	250	NVIDIA GeForce G102M/512MB	135920	36	8	1
DELL	Studio XPS M1340-110934 B	13,3	2048	320	NVIDIA GeForce Go 9400M-GS 256MB	201520	36	6	5
HP	ProBook 4510s VC191EA	15,6	3072	500	ATi Mobility Radeon HD4330 256MB	187600	37	6	5
HP	ProBook 4510s NA921EA	15,6	2048	250	Intel Graphics 4500MHD	203920	37	3	2
DELL	Inspiron 1545-111827 Red	15,6	4096	320	ATi Mobility Radeon HD4330 512MB	139120	38	2	2
DELL	Inspiron 1545-111826 Black	15,6	4096	320	ATi Mobility Radeon HD4330 512MB	139120	38	2	0
DELL	Inspiron 1545-111828 Blue	15,6	4096	320	ATi Mobility Radeon HD4330 512MB	139120	38	2	5
DELL	Inspiron 1545-111829 White	15,6	4096	320	ATi Mobility Radeon HD4330 512MB	139120	38	2	0
DELL	Inspiron 1545-111831 Purple	15,6	4096	320	ATi Mobility Radeon HD4330 512MB	139120	38	2	0
MSI	EX627X-400HU	16	4096	500	ATi Mobility Radeon HD4570 512MB	164720	38	1	5
ASUS	U80V-WX101V	14	4096	500	ATi Mobility Radeon HD4570 512MB	199120	38	10	3
LENOVO	IdeaPad G550A 59-026421	15,6	3072	320	Intel Graphics 4500MHD	135920	38	1	5
ACER	Aspire 5738-663G32MN Linux	15,6	3072	320	Intel Graphics 4500MHD 	123920	38	2	2
ASUS	K50IJ-SX152L	15,6	4096	320	Intel Graphics X4500M / 256MB	119920	38	8	0
ASUS	K50IN-SX155L	15,6	3072	250	NVIDIA GeForce G102M/512MB	126320	38	2	4
ASUS	K50IN-SX157L	15,6	4096	500	NVIDIA GeForce G102M/512MB	131920	38	2	2
ASUS	U50VG-XX156V	15,6	4096	500	NVIDIA GeForce G105/512MB	195120	38	10	1
MSI	EX723X-079HU	17	4096	500	NVIDIA GeForce Go 9300M 256MB	173520	38	1	0
TOSHIBA	Satellite U500-17E	13,3	2048	320	NVIDIA GeForce GT210M 512GB	166320	38	10	2
ASUS	F50SF-JX061X	16	4096	500	NVIDIA GeForce GT220M 1GB	167680	38	8	2
ASUS	N61VG-JX070V	16	4096	500	NVIDIA GeForce GT220M 1GB	207920	38	10	3
TOSHIBA	Satellite A500-1DN	16	4096	320	NVIDIA GeForce GT230M 1GB	185520	38	10	2
LENOVO	SL500 NRJEBHV	15,4	2048	320	Intel Graphics 4500MHD	169520	39	4	3
FUJITSU	Esprimo V5505 02	15,4	2048	250	Intel Graphics x3100	135555	40	4	4
TOSHIBA	Satellite A200-23W	15,4	2048	400	ATi Mobility Radeon HD2600 512MB	175920	41	6	0
FUJITSU	Esprimo D9500-101571	15,4	2048	160	Intel Graphics x3100	155920	42	3	2
FUJITSU	Esprimo D9500-101570	15,4	4096	160	Intel Graphics x3100	179120	43	3	3
Lenovo	ThinkPad W500 NRA3KHV	15,4	4096	200	Intel Graphics 4500MHD	380720	44	3	0
ACER	Timeline 3810T-352G25N	13,3	2048	250	Intel Graphics 4500MHD	130320	45	6	1
MSI	X400-048HU	14	2048	500	Intel Graphics 4500MHD	143920	45	6	4
ASUS	UX30-QX032C	13,3	3072	500	Intel Graphics X4500M / 256MB	198800	45	6	5
ASUS	U20A-2P027C	12,1	4096	500	Intel Graphics X4500M / 256MB	207920	45	6	0
ASUS	UX50V-XX007C	15,6	4096	500	NVIDIA GeForce G105/512MB	244720	45	6	2
ACER	Timeline 3810TZ-414G32N	13,3	4096	320	Intel Graphics 4500MHD	138320	46	9	3
ACER	Timeline 5810TZ-414G32MN Vista	15,6	4096	320	Intel Graphics 4500MHD	142320	46	7	3
ACER	Timeline 5810TZ-414G32MN Win7	15,6	4096	320	Intel Graphics 4500MHD	146320	46	9	3
ACER	Aspire Timeline 4810TZ-413G25MN	14,1	3072	250	Intel Graphics 4500MHD	150000	46	10	5
TOSHIBA	Satellite T130-10G	13,3	4096	320	Intel Graphics X4500M / 256MB	151920	46	10	5
FUJITSU	Esprimo V6545	15,4	2048	250	ATi Mobility Radeon HD3450 256MB	110320	23	2	1
TOSHIBA	Satellite A300-22Z	15,4	2048	320	ATi Mobility Radeon HD3470 256MB	126000	23	8	5
FUJITSU	Esprimo V6505	15,4	2048	250	Intel Graphics 4500MHD 	111111	23	2	2
FUJITSU	Amilo PI 3540-104877	15,4	3072	250	NVIDIA GeForce Go 9300M 256MB	115920	23	8	5
MSI	VX600X-206HU	15,4	4096	320	ATi Mobility Radeon HD3410 256MB	121520	48	1	4
TOSHIBA	Satellite A300-29K	15,4	2048	320	ATi Mobility Radeon HD3470 256MB	125520	48	8	3
TOSHIBA	Satellite A300-22W	15,4	3072	320	ATi Mobility Radeon HD3470 256MB	131920	48	6	5
TOSHIBA	Satellite A300-29J	15,4	4096	320	ATi Mobility Radeon HD3470 256MB	135120	48	6	3
MSI	CX600X-018HU	16	4096	320	ATi Mobility Radeon HD4330 256MB	114800	48	8	0
MSI	CX700X-013HU	17,3	4096	320	ATi Mobility Radeon HD4330 256MB	133520	48	8	1
HP	Pavilion DV6-1120EH NM629EA	15,6	3072	250	ATi Mobility Radeon HD4530 512MB	183992	48	6	3
ASUS	F83SE-VX039	14	4096	500	ATi Mobility Radeon HD4570 512MB	138320	48	8	5
TOSHIBA	Satellite L300-2CE	15,4	2048	250	Intel Graphics 4500MHD	103600	48	8	1
FUJITSU	Esprimo V6535-104061	15,4	4096	320	Intel Graphics 4500MHD	118320	48	8	3
FUJITSU	Amilo Li 3910-UW5HU	18,4	4096	320	Intel Graphics 4500MHD	123920	48	8	3
ASUS	K50IJ-SX025L	15,6	4096	320	Intel Graphics 4500MHD	125520	48	8	3
HP	Presario CQ61-110eh NT353EA	15,6	2048	250	Intel Graphics 4500MHD	131920	48	4	4
HP	ProBook 4510s VC179ES	15,6	3072	320	Intel Graphics 4500MHD	134320	48	1	3
ASUS	F6A-3P154X	13,3	3072	250	Intel Graphics X4500M / 256MB	143120	48	8	4
ASUS	K50IN-SX011L	15,6	4096	320	NVIDIA GeForce G102M/512MB	129520	48	8	5
HP	Presario CQ61-120eh NL930EA	15,6	3072	250	NVIDIA GeForce G103/512MB	148720	48	4	0
ACER	Aspire 5738ZG-422G25MN	15,6	2048	250	NVIDIA GeForce G105/512MB	123120	48	4	4
MSI	EX720X-058HU	17	4096	500	NVIDIA GeForce Go 9300M 256MB	150320	48	1	0
MSI	CX600X-072HU	16	4096	500	ATi Mobility Radeon HD4330 256MB	119120	49	8	4
DELL	Inspiron 1545-110961 Red	15,6	2048	320	ATi Mobility Radeon HD4330 512MB	134320	49	6	3
DELL	Inspiron 1545-110963 Blue	15,6	2048	320	ATi Mobility Radeon HD4330 512MB	134320	49	6	0
DELL	Inspiron 1545-110964 White	15,6	2048	320	ATi Mobility Radeon HD4330 512MB	134320	49	6	4
DELL	Inspiron 1545-110962 Black	15,6	2048	320	ATi Mobility Radeon HD4330 512MB	134320	49	6	3
ASUS	F83SE-VX057D	14	4096	500	ATi Mobility Radeon HD4570 512MB	124720	49	8	2
ACER	Aspire 5738ZG-432G25MN	15,6	2048	250	ATi Mobility Radeon HD4570 512MB	126320	49	5	5
LENOVO	IdeaPad G550L 59-026359	15,6	3072	320	Intel Graphics 4500MHD	103920	49	1	0
TOSHIBA	Satellite L300-2C5	15,4	2048	250	Intel Graphics 4500MHD	110320	49	6	3
ACER	Aspire 5738Z-434G32MN	15,6	4096	320	Intel Graphics 4500MHD	126320	49	6	3
ACER	Extensa 5635Z-431G16MN	15,6	1024	160	Intel Graphics 4500MHD 	94320	49	2	1
TOSHIBA	Satellite L500-1EQ	15,6	2048	320	Intel Graphics X4500M / 256MB	103920	49	1	1
ASUS	K50IJ-SX148L	15,6	2048	250	Intel Graphics X4500M / 256MB	103920	49	8	1
TOSHIBA	Satellite L500-1GE	15,6	4096	320	Intel Graphics X4500M / 256MB	103920	49	1	4
ASUS	K50IJ-SX151L	15,6	3072	250	Intel Graphics X4500M / 256MB	110320	49	8	5
ASUS	K50IJ-SX151V	15,6	3072	250	Intel Graphics X4500M / 256MB	119920	49	9	0
ASUS	K50IJ-SX124L	15,6	4096	320	Intel Graphics X4500M / 256MB	120400	49	8	1
ASUS	K70IJ-TY042L	17,3	4096	320	Intel Graphics X4500M / 256MB	131920	49	8	1
ASUS	K50IN-SX153L	15,6	3072	250	NVIDIA GeForce G102M/512MB	111920	49	2	2
ASUS	K50IN-SX154L	15,6	4096	320	NVIDIA GeForce G102M/512MB	115920	49	2	5
ASUS	K50IN-SX153V	15,6	3072	250	NVIDIA GeForce G102M/512MB	127920	49	9	4
ASUS	K70IO-TY073L	17,3	4096	320	NVIDIA GeForce GT120M 1GB	138320	49	8	2
ASUS	K70IO-TY068V	17,3	4096	250	NVIDIA GeForce GT120M 1GB	156720	49	9	0
ASUS	K61IC-JX018D	15,6	4096	500	NVIDIA GeForce GT220M 1GB	143920	49	8	1
LENOVO	U350 BLACK	13,3	2048	250	Intel Graphics 4500MHD	111920	51	4	0
MSI	X340-037HU	13,4	2048	320	Intel Graphics 4500MHD	135920	51	6	5
LENOVO	IdeaPad S12 Black	12	1024	160	VIA S3 Chrome 9	97520	52	12	4
LENOVO	IdeaPad S12 White	12	1024	160	VIA S3 Chrome 9	97520	52	12	4
ASUS	K51AC-SX037D	15,6	2048	250	ATi Mobility Radeon HD3200 256MB	98320	53	8	1
ASUS	K50AB-SX073D	15,6	3072	250	ATi Mobility Radeon HD4570 512MB	107120	53	8	5
